Internal gene ID,Vectorbase Identifier,Display name,Gene family,OrthoDB category,OrthoDB D. melanogaster ortholog,BlastX hit(s) to D. melanogaster proteome,Evidence for name,,,,,,,,,,,,,,,
gene10879,AAEL002913,,,EOG84J58J,Pmp70,Pmp70-CG2316,,,,,,,,,,,,,,,,
gene1088,AAEL008100,,,EOG8VX4XG,Fip1,NA,,,,,,,,,,,,,,,,
gene10880,AAEL002896,,,EOG8BS09T,CG43347,CG43347-CG15269-CG4282-wek-Clamp-Kr-h1-Sry-delta,,,,,,,,,,,,,,,,
gene10881,AAEL002884,,,NA,NA,Syx18,,,,,,,,,,,,,,,,
gene10882,AAEL002903,,,EOG8VMJ5M,Pi3K92E,Pi3K92E-Pi3K68D-Pi3K59F-PI4KIIIalpha-fwd,,,,,,,,,,,,,,,,
gene10883,AAEL017139,,,EOG8Q87QP,CG13639,CG13639,,,,,,,,,,,,,,,,
gene10884,RU130,,,NA,NA,Lcp65Ac-Acp65Aa-Cpr65Av-Lcp65Ae-Lcp65Ad-Cpr65Aw-Cpr11B-Lcp65Ag3,,,,,,,,,,,,,,,,
gene10885,AAEL011451,,,EOG8SBHPZ,l(3)mbn,l(3)mbn-Cpr65Ay,,,,,,,,,,,,,,,,
gene10886,AAEL017270,,,NA,NA,CG18814-Pdh-CG4842-Fbp2-Adhr,,,,,,,,,,,,,,,,
gene10887,AAEL011443,,,NA,NA,CG10657-Cralbp-CG33965-CG33966-CG3823-CG33514-CG12926-CG10300-CG30339-CG2663,,,,,,,,,,,,,,,,
gene10888,AAEL011459,,,EOG8QJVD2,CG1136,CG1136-Cpr51A-Cpr72Eb,,,,,,,,,,,,,,,,
gene10889,AAEL011458,,,NA,NA,Cpr72Ec-Cpr72Eb-Cpr72Ea-Cpr92F-Cpr64Ab-Ccp84Ae-Cpr67B-Cpr97Ea-Cpr11B,,,,,,,,,,,,,,,,
gene1089,AAEL008109,,,EOG8DNHWF-EOG8DNHWF,mab-21-CG4766,mab-21-CG4766,,,,,,,,,,,,,,,,
gene10890,AAEL011454,,,NA,NA,CG10657-Cralbp-CG2663-CG31636-CG30339-CG33966-CG33965-CG12926-CG10237-CG5958-CG10026,,,,,,,,,,,,,,,,
gene10891,AAEL011446,,,NA,NA,CG9134-CG8343-CG12111-CG11211-lectin-37Da-CG15818,,,,,,,,,,,,,,,,
gene10892,AAEL011462,,,EOG8VT8PJ,TfIIEbeta,TfIIEbeta,,,,,,,,,,,,,,,,
gene10893,AAEL011463,,,EOG8JHG6F,dib,dib-shd-Cyp49a1-Cyp301a1-Cyp12b2-Cyp12a5,,,,,,,,,,,,,,,,
gene10894,AAEL011449,,,NA,NA,CG10657-Cralbp-CG2663-CG31636-CG33514-CG10300-CG33966-CG30339,,,,,,,,,,,,,,,,
gene10895,AAEL017308,,,NA,NA,Fbp2-Pdh-CG18814-CG4842-Adhr,,,,,,,,,,,,,,,,
gene10896,AAEL011461,,,EOG8ZGS59,Cpr72Eb,Cpr72Ea-Cpr72Eb-Cpr72Ec-Cpr92F-Cpr64Ab-Cpr5C-Ccp84Ac-Ccp84Ae-Ccp84Ad-Ccp84Ab,,,,,,,,,,,,,,,,
gene10897,AAEL011460,,,NA,NA,CG10657-Cralbp-CG10300-CG31636-CG2663-CG30339-CG33514-CG11550,,,,,,,,,,,,,,,,
gene10898,AAEL011445,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10899,AAEL011457,,,NA,NA,CG10657-Cralbp-CG12926-CG33514-CG5958-CG30339-CG33966-CG33965-CG10300-CG10237-CG2663-CG3823,,,,,,,,,,,,,,,,
gene109,AAEL013517,,,EOG886C5M,Lcp9,Acp65Aa-Lcp65Ac-Cpr65Au-Cpr47Ef-Cpr65Az-Cpr65Aw-Lcp65Ad-Cpr78E-Cpr65Av,,,,,,,,,,,,,,,,
gene1090,AAEL008105,,,EOG8SXR40,Gclc,Gclc,,,,,,,,,,,,,,,,
gene10900,AAEL011447,,,EOG88WFTR,RpL14,RpL14,,,,,,,,,,,,,,,,
gene10901,AAEL017309,,,EOG8Q2H6W-EOG8Q2H6W-EOG8Q2H6W,Pdh-CG18814-CG4842,Pdh-Fbp2-CG18814-Adhr,,,,,,,,,,,,,,,,
gene10902,AAEL017337,,,EOG8Q2H6W-EOG8Q2H6W-EOG8Q2H6W,Pdh-CG4842-CG18814,Pdh-CG18814-Adhr-CG4842-Fbp2-Adh,,,,,,,,,,,,,,,,
gene10903,AAEL011444,,,EOG82FW8C-EOG82FW8C,Cpr65Av-Acp65Aa,Cpr65Av-Lcp65Ac-Lcp65Ad-Acp65Aa-Lcp65Ae-Cpr65Ax2-Cpr65Ax1-Lcp65Af,,,,,,,,,,,,,,,,
gene10904,AAEL011450,,,NA,NA,Pdh-CG18814-CG4842-Adhr-Fbp2,,,,,,,,,,,,,,,,
gene10905,AAEL011455,,,NA,NA,CG9134-CG12111-Lectin-galC1-Sfp24F-CG43055,,,,,,,,,,,,,,,,
gene10906,AAEL011453,,,NA,NA,CG9134-lectin-37Da-CG12111-Lectin-galC1-lectin-24Db,,,,,,,,,,,,,,,,
gene10907,AAEL011456,,,NA,NA,ATPsynF,,,,,,,,,,,,,,,,
gene10908,AAEL011452,,,NA,NA,CG10657-Cralbp-CG33966-CG2663-CG31636-CG33514-CG12926-CG30339,,,,,,,,,,,,,,,,
gene10909,AAEL011448,,,NA,NA,CG10657-Cralbp-CG30339-CG2663-CG31636-CG11550-CG33965-CG33514,,,,,,,,,,,,,,,,
gene1091,AAEL008107,,,EOG85XBM8,poe,poe-hyd-FBXO11,,,,,,,,,,,,,,,,
gene10910,AAEL017998,,,EOG85TGDB,CG15878,CG15878,,,,,,,,,,,,,,,,
gene10911,AAEL010253,,,EOG8Z0DZ1,Orc6,Orc6,,,,,,,,,,,,,,,,
gene10912,AAEL010258,,,EOG8PCDJX,CG45050,CG45050-CG15368-Rabex-5,,,,,,,,,,,,,,,,
gene10913,AAEL010248,,,EOG8PG8S9,Fib,Fib-CG10909,,,,,,,,,,,,,,,,
gene10914,AAEL010256,,,EOG8897BQ,Smurf,Smurf-Su(dx)-CG42797-Nedd4,,,,,,,,,,,,,,,,
gene10915,AAEL010244,,,EOG8QVG4V,lolal,lolal-ab,,,,,,,,,,,,,,,,
gene10916,AAEL010250,,,NA,NA,CG14965-CG13894-CG6689,,,,,,,,,,,,,,,,
gene10917,AAEL010249,,,EOG8WM7MG,CG30105,CG30105,,,,,,,,,,,,,,,,
gene10918,AAEL010251,,,EOG86X21K,eIF2B-alpha,eIF2B-alpha-eIF2B-beta-eIF2B-delta-CG11334,,,,,,,,,,,,,,,,
gene10919,AAEL010252,,,EOG8MD0QS,Trim9,NA,,,,,,,,,,,,,,,,
gene1092,AAEL017380,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10920,AAEL010257,,,EOG8P5P3H,igl,igl,,,,,,,,,,,,,,,,
gene10921,AAEL010259,,,NA,NA,CG5245-crol,,,,,,,,,,,,,,,,
gene10922,AAEL010245,,,EOG8RFPK8,icln,icln,,,,,,,,,,,,,,,,
gene10923,AAEL017054,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10924,AAEL010255,,,NA,NA,CG15890-CG31321-CG30345-CG30344-CG15553-CG8008,,,,,,,,,,,,,,,,
gene10925,AAEL010254,,,EOG81RSKR,CG5913,CG5913,,,,,,,,,,,,,,,,
gene10926,AAEL010246,,,EOG84XN7V,CG13625,CG13625,,,,,,,,,,,,,,,,
gene10927,AAEL010247,,,NA,NA,CG5913,,,,,,,,,,,,,,,,
gene10928,AAEL013838,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10929,AAEL015297,,,NA,NA,mtRNApol,,,,,,,,,,,,,,,,
gene1093,AAEL008112,,,NA,NA,SoYb,,,,,,,,,,,,,,,,
gene10930,AAEL005977,,,EOG8B8N57,CG13937,CG13937-CG14024-CG31743,,,,,,,,,,,,,,,,
gene10931,AAEL005972,,,NA,NA,CG9114-CG5955,,,,,,,,,,,,,,,,
gene10932,AAEL005983,,,NA,NA,frac-CG31999-CG32373,,,,,,,,,,,,,,,,
gene10933,AAEL005981,,,EOG8PRWGF,Snmp2,Snmp2-Snmp1-crq-ninaD-emp,,,,,,,,,,,,,,,,
gene10934,AAEL018356,,,EOG82Z7FC,frac,frac-CG31999-dpy,,,,,,,,,,,,,,,,
gene10935,AAEL005976,,,EOG8GTP5J,Aprt,Aprt,,,,,,,,,,,,,,,,
gene10936,AAEL005980,,,EOG8KD9C0,Tmhs,Tmhs-CG3770,,,,,,,,,,,,,,,,
gene10937,AAEL005985,,,EOG8HMN2J,Atg13,Atg13,,,,,,,,,,,,,,,,
gene10938,AAEL005978,,,NA,NA,frac-CG32373-tld-tok,,,,,,,,,,,,,,,,
gene10939,AAEL005988,,,EOG8Z91MT,CG8492,CG8492-CG30062-LysE-LysS-LysP-LysB-LysD-LysX-CG16799,,,,,,,,,,,,,,,,
gene1094,AAEL017144,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10940,AAEL005974,,,EOG8X9B91,Dbx,Dbx-H2.0-bsh-HGTX-exex-B-H1-B-H2-CG11085,,,,,,,,,,,,,,,,
gene10941,AAEL005986,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10942,AAEL005979,,,EOG8VQDDT,dsb,dsb-emp-CG3829-CG10345,,,,,,,,,,,,,,,,
gene10943,AAEL005975,,,EOG8J4079,Taf4,Taf4-nht,,,,,,,,,,,,,,,,
gene10944,AAEL015384,,,EOG8SXR3Z,dos,dos,,,,,,,,,,,,,,,,
gene10945,AAEL010802,,,EOG8BK7WM,CG8501,CG8501,,,,,,,,,,,,,,,,
gene10946,AAEL010801,,,EOG8KWNKX-EOG8KWNKX,UQCR-11-UQCR-11L,UQCR-11-UQCR-11L,,,,,,,,,,,,,,,,
gene10947,AAEL010797,,,EOG8DFSFJ,MED21,MED21,,,,,,,,,,,,,,,,
gene10948,AAEL010798,,,EOG870X8W-EOG870X8W,Ubc87F-CG40045,CG40045-Ubc87F-Ubc7-CG7656,,,,,,,,,,,,,,,,
gene10949,AAEL010803,,,EOG82FW81,ncd,ncd-Klp68D-Klp64D-Klp3A-Klp61F-Khc-73,,,,,,,,,,,,,,,,
gene1095,AAEL008113,,,EOG890B1F,mh,NA,,,,,,,,,,,,,,,,
gene10950,AAEL010799,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10951,AAEL010805,,,EOG82C11H,ZIPIC,ZIPIC-CG6654-dwg-Meics-CG15436-Clamp-Kr-h1-CG18476-CG2712-CG17568-CG4854-Kr,,,,,,,,,,,,,,,,
gene10952,AAEL010807,,,EOG8Z394Z,Set1,Set1-trx,,,,,,,,,,,,,,,,
gene10953,AAEL010804,,,EOG8QVG3C,CG17698,CG17698-lkb1,,,,,,,,,,,,,,,,
gene10954,AAEL010795,,,EOG8QZBB6,frtz,frtz,,,,,,,,,,,,,,,,
gene10955,AAEL010800,,,EOG8KSS92,CG41099,CG41099-Ank2,,,,,,,,,,,,,,,,
gene10956,AAEL017038,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10957,AAEL010806,,,EOG87M4QH,CG4210,CG4210,,,,,,,,,,,,,,,,
gene10958,AAEL010796,,,EOG82NMQK,SIDL,SIDL,,,,,,,,,,,,,,,,
gene10959,AAEL015290,,,NA,NA,CG11897-CG7627-CG4562-CG11898-CG10505-CG31792,,,,,,,,,,,,,,,,
gene1096,AAEL015054,,,EOG8P5P1V,CG2812,CG2812-wds-Gbeta76C-Gbeta5-Gbeta13F,,,,,,,,,,,,,,,,
gene10960,AAEL009477,,,EOG8M94GT,CG15865,CG15865-mab-21-CG4766,,,,,,,,,,,,,,,,
gene10961,AAEL009492,,,EOG8NGKDP,CG15211,CG15211,,,,,,,,,,,,,,,,
gene10962,AAEL009478,,,NA,NA,TwdlE-TwdlT-TwdlBeta-TwdlC-Twdlalpha-TwdlX-TwdlY-TwdlF-TwdlG,,,,,,,,,,,,,,,,
gene10963,AAEL009485,,,NA,NA,CG14693-CG8958-CG12698-Epac-for,,,,,,,,,,,,,,,,
gene10964,AAEL009482,,,EOG84F91D,CG1632,CG1632-Corin-ndl-CG6739-fz3-trol,,,,,,,,,,,,,,,,
gene10965,AAEL009486,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10966,AAEL009480,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10967,AAEL009488,,,EOG8JHG73,mei-217,mei-217,,,,,,,,,,,,,,,,
gene10968,AAEL009489,,,NA,NA,fd3F-fd19B-CHES-1-like-slp1-fd68A,,,,,,,,,,,,,,,,
gene10969,AAEL009475,,,NA,NA,r-CG6106-CRMP-ACC,,,,,,,,,,,,,,,,
gene1097,AAEL017220,,,NA,NA,CG43088-CG7492,,,,,,,,,,,,,,,,
gene10970,AAEL009487,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10971,AAEL009493,,,EOG8CC6SW,sing,sing-CG1572,,,,,,,,,,,,,,,,
gene10972,AAEL009483,,,EOG8SJ86N,CG1572,CG1572,,,,,,,,,,,,,,,,
gene10973,AAEL009474,,,EOG84BDTT,PGRP-SA,PGRP-SA-PGRP-LC-PGRP-SB1-PGRP-LE-PGRP-LF-PGRP-SB2,,,,,,,,,,,,,,,,
gene10974,AAEL009481,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10975,AAEL009476,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10976,AAEL009491,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10977,AAEL009479,,,EOG89KJGS-EOG89KJGS,CG4991-CG16700,CG16700-CG4991-CG13384,,,,,,,,,,,,,,,,
gene10978,AAEL009484,,,NA,NA,TwdlT-TwdlBeta-TwdlE-TwdlC-TwdlG-TwdlF-TwdlV-TwdlZ,,,,,,,,,,,,,,,,
gene10979,AAEL017115,,,EOG8S4S6G,CG8945,CG8945-CG3108-CG17633-CG4017-CG18585-CG3097-CG7025-CG14820-CG18417,,,,,,,,,,,,,,,,
gene1098,AAEL007132,,,EOG86X20H,Dhc64C,Dhc64C-Dhc93AB,,,,,,,,,,,,,,,,
gene10980,AAEL014524,,,EOG8P5P1G,dpa,dpa-Mcm5-Mcm6-Mcm2-Mcm3-Mcm7-rec,,,,,,,,,,,,,,,,
gene10981,AAEL014523,,,EOG82FW80,amon,amon-Fur1-Fur2,,,,,,,,,,,,,,,,
gene10982,AAEL014522,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10983,AAEL014525,,,EOG8H48W9,312,312,,,,,,,,,,,,,,,,
gene10984,AAEL010998,,,NA,NA,CG3345,,,,,,,,,,,,,,,,
gene10985,AAEL010997,,,EOG8V9XG1,sqa,sqa-Strn-Mlck,,,,,,,,,,,,,,,,
gene10986,AAEL011003,,,EOG8ZPHKR,pad,pad-crol,,,,,,,,,,,,,,,,
gene1099,AAEL007125,,,EOG81K25G,CG11562,CG11562,,,,,,,,,,,,,,,,
gene10992,AAEL011006,,,EOG8QNQNH,CG11811,CG11811-sdt,,,,,,,,,,,,,,,,
gene10993,AAEL011004,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10994,AAEL010999,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10995,AAEL010996,,,EOG80048J,Rel,Rel-Ank2,,,,,,,,,,,,,,,,
gene10996,AAEL013221,,,EOG8STVX6,RpL10Ab,RpL10Ab-RpL10Aa,,,,,,,,,,,,,,,,
gene10997,AAEL013223,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene10998,AAEL013226,,,EOG84XN82,Trp1,Trp1,,,,,,,,,,,,,,,,
gene10999,AAEL013220,,,EOG8PZN09,crim,crim,,,,,,,,,,,,,,,,
gene11,AAEL009964,,,EOG8SFD08,ATPsynE,ATPsynE,,,,,,,,,,,,,,,,
gene110,AAEL013515,,,EOG82FW8C-EOG82FW8C,Acp65Aa-Cpr65Av,Cpr65Av-Lcp65Ac-Lcp65Ad-Cpr65Aw-Acp65Aa-Cpr65Ax2-Cpr65Ax1-Lcp65Af,,,,,,,,,,,,,,,,
gene1100,AAEL007131,,,NA,NA,CG33282-CG14606-CG15408-CG15406-CG3285-CG14605-CG33281,,,,,,,,,,,,,,,,
gene11001,AAEL013224,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11002,AAEL013222,,,EOG8WWV9R,obst-B,obst-B-obst-A-obst-E-Gasp-Peritrophin-A,,,,,,,,,,,,,,,,
gene11003,AAEL013218,,,NA,NA,CG6574-CG17036-CG14694,,,,,,,,,,,,,,,,
gene11004,AAEL013225,,,EOG8W6RN6,CG5946,CG5946-CG11257,,,,,,,,,,,,,,,,
gene11005,AAEL017268,,,NA,NA,CG5287,,,,,,,,,,,,,,,,
gene11006,AAEL005547,,,EOG86X21J,rgn,rgn-CG15765-CG8343,,,,,,,,,,,,,,,,
gene11007,AAEL005534,,,NA,NA,CG7372-CG12299-CG3281-ham-Kr-Meics-gl-CG4424-Clamp-CG2202-CG17359-fu2-CG3407-CG15269-jim,,,,,,,,,,,,,,,,
gene11008,AAEL005535,,,EOG8JDKZG,CG31849,CG31849,,,,,,,,,,,,,,,,
gene11009,AAEL005544,,,EOG880MND,CG6422,CG6422-YT521-B,,,,,,,,,,,,,,,,
gene1101,AAEL007138,,,EOG8R52TN,CG33281,CG33281-Tret1-2-CG10960-CG15406-CG33282-CG15408-Tret1-1-CG3285-CG14606,,,,,,,,,,,,,,,,
gene11010,AAEL005550,,,NA,NA,CG10348-CG7357-Meics-CG12605-CG17806,,,,,,,,,,,,,,,,
gene11011,RU131,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11012,AAEL005539,,,EOG89GP6S,FANCI,FANCI,,,,,,,,,,,,,,,,
gene11013,AAEL005542,,,NA,NA,pita-CG17802-CG11247-ZIPIC-CG10274-CG5245-CG6654,,,,,,,,,,,,,,,,
gene11014,RU132,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11015,AAEL005551,,,EOG818FDQ,Muc18B,NA,,,,,,,,,,,,,,,,
gene11016,AAEL005541,,,EOG8Q2H6G,CG5808,CG5808-Cypl-CG10907-CG3511-CG7747-CG11777-Rbp9,,,,,,,,,,,,,,,,
gene11017,AAEL005537,,,NA,NA,Nlg4-Nlg3-Nlg2-alpha-Est2,,,,,,,,,,,,,,,,
gene11018,RU133,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11019,AAEL005538,,,EOG89CT1F,ND-B16.6,ND-B16.6,,,,,,,,,,,,,,,,
gene1102,AAEL007128,,,NA,NA,CG33281-CG15406-CG14606-CG3285-CG33282-CG15408-CG14605,,,,,,,,,,,,,,,,
gene11020,AAEL005549,,,EOG870X8V,barc,barc,,,,,,,,,,,,,,,,
gene11021,AAEL005540,,,NA,NA,CG2256-sunz-sowi-CG15177-d-cup-CG44422,,,,,,,,,,,,,,,,
gene11022,AAEL017053,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11023,AAEL005543,,,EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF,CG10182-CG42329-CG14219-CG14205-CG3106-CG33337-CG16723-CG5892-CG14204-CG10183,CG3106-CG14205-CG14219-CG10182-CG33337-CG42329-CG16723-CG10183-CG13325-CG5892-CG14204,,,,,,,,,,,,,,,,
gene11024,AAEL005553,,,EOG8XH2QM,Mnn1,Mnn1,,,,,,,,,,,,,,,,
gene11025,AAEL005545,,,NA,NA,Tsp29Fb-Tsp39D-Tsp47F-Tsp29Fa-Tsp74F,,,,,,,,,,,,,,,,
gene11026,AAEL005533,,,NA,NA,CG31106-CG15221-CG31103-CG31272-CG3168,,,,,,,,,,,,,,,,
gene11027,AAEL005548,,,NA,NA,Tsp29Fb-Tsp29Fa-Tsp47F-Tsp42Er-Tsp39D-Tsp3A,,,,,,,,,,,,,,,,
gene11028,AAEL005536,,,EOG8K6JWG,Tsp29Fb,Tsp29Fb-Tsp47F-Tsp39D-Tsp29Fa-Tsp26A,,,,,,,,,,,,,,,,
gene11029,AAEL005546,,,NA,NA,obst-G-Muc68D-obst-F-CG43896-CG33985-CG4835-CG10725-CG17826-Tequila,,,,,,,,,,,,,,,,
gene1103,AAEL007137,,,EOG8WT01R,CG6511,CG6511,,,,,,,,,,,,,,,,
gene11030,AAEL005552,,,EOG8PRWGN,Sucb,Sucb-skap,,,,,,,,,,,,,,,,
gene11031,AAEL007191,,,EOG8HX7RV,CG7888,CG7888-CG1139-CG43693,,,,,,,,,,,,,,,,
gene11032,AAEL007197,,,EOG8QG050,CG43693,CG43693-CG13384,,,,,,,,,,,,,,,,
gene11033,AAEL007194,,,NA,NA,Cpr65Av-Lcp65Ad-Lcp65Ac-Acp65Aa-Cpr65Ax2-Cpr65Ax1-Cpr65Aw-Lcp65Af,,,,,,,,,,,,,,,,
gene11034,AAEL007189,,,EOG844PB0,cu,cu-CG31759-angel-twin,,,,,,,,,,,,,,,,
gene11035,AAEL007195,,,EOG8R26K5,unc-5,unc-5-robo1-robo2-robo3-Pxn,,,,,,,,,,,,,,,,
gene11036,AAEL007193,,,EOG8R52TJ,CG1139,CG7888-CG1139-CG13384,,,,,,,,,,,,,,,,
gene11037,AAEL017369,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11038,AAEL007196,,,EOG8KSSB3,CG3776,CG3776,,,,,,,,,,,,,,,,
gene11039,AAEL007190,,,EOG8QZBCB,Hr51,Hr51-dsf-svp-tll-Hr83-Hr78,,,,,,,,,,,,,,,,
gene1104,AAEL007134,,,EOG8K6JWP,CG13707,CG13707,,,,,,,,,,,,,,,,
gene11040,AAEL007192,,,EOG82FW8C-EOG82FW8C,Cpr65Av-Acp65Aa,Lcp65Ad-Cpr65Av-Lcp65Ac-Acp65Aa-Cpr65Ax2-Cpr65Ax1-Cpr65Aw-Lcp65Af,,,,,,,,,,,,,,,,
gene11041,AAEL008848,,,EOG8X3KSH,ATPsyngamma,ATPsyngamma,,,,,,,,,,,,,,,,
gene11042,AAEL008842,,,NA,NA,Crtc,,,,,,,,,,,,,,,,
gene11043,AAEL018075,,,EOG85MQX1-EOG85MQX1-EOG85MQX1,Cyp9f2-Cyp9b1-Cyp9b2,Cyp9f2-Cyp9h1-Cyp9b2-Cyp9c1-Cyp9b1-Cyp6g2-Cyp6a13-Cyp6a2-Cyp6a17,,,,,,,,,,,,,,,,
gene11044,AAEL008839,,,NA,NA,crol-CG12299-CG5245-CG14711,,,,,,,,,,,,,,,,
gene11045,AAEL008852,,,EOG8GF65P,Mys45A,Mys45A,,,,,,,,,,,,,,,,
gene11046,AAEL008840,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11047,AAEL008847,,,NA,NA,Wnt2-wg-Wnt6-Wnt5-Wnt4-Wnt10,,,,,,,,,,,,,,,,
gene11048,AAEL008843,,,NA,NA,arx-CG34283-CG32625-CG14036,,,,,,,,,,,,,,,,
gene11049,AAEL008851,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene1105,AAEL007136,,,NA,NA,CG33281-CG33282-CG10960-CG15406-CG15408-CG6484-CG3285,,,,,,,,,,,,,,,,
gene11050,AAEL008849,,,EOG88GZV5,SelD,SelD-Sps2,,,,,,,,,,,,,,,,
gene11051,AAEL016994,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11052,AAEL018032,,,EOG84J586,tweek,tweek,,,,,,,,,,,,,,,,
gene11053,AAEL008854,,,EOG8M6880,CG12099,CG12099-Pex10-CG8974-CG32581,,,,,,,,,,,,,,,,
gene11054,AAEL017340,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11055,AAEL008837,,,EOG8S1X0N,CG7656,CG7656-CG40045-Ubc87F-Ubc7,,,,,,,,,,,,,,,,
gene11056,AAEL008835,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11057,AAEL008838,,,NA,NA,CG17359-CG44002-CG6808-Aef1-CG4424-CG14711,,,,,,,,,,,,,,,,
gene11058,AAEL008834,,,NA,NA,tej-CG15930-papi-tud-spoon,,,,,,,,,,,,,,,,
gene11059,AAEL008844,,,EOG8N5ZQ1,Scp1,Scp1-Scp2-CG44422-Frq1,,,,,,,,,,,,,,,,
gene1106,AAEL007135,,,EOG8XH2RB,Prx5,Prx5,,,,,,,,,,,,,,,,
gene11060,AAEL008841,,,EOG8KPX29,CG9527,CG17544-CG9527-CG5009-Acox57D-p,,,,,,,,,,,,,,,,
gene11061,AAEL008853,,,EOG8GMXNK,CG2201,CG2201-eas,,,,,,,,,,,,,,,,
gene11062,AAEL008833,,,EOG8QC3XX,CG13108,CG13108,,,,,,,,,,,,,,,,
gene11063,AAEL008850,,,EOG8V727T,Mat1,Mat1,,,,,,,,,,,,,,,,
gene11064,AAEL015124,,,NA,NA,CG32085-CG9003-CG2010-CG8272,,,,,,,,,,,,,,,,
gene11065,AAEL015123,,,EOG8FTZR2,Ime4,Ime4-CG7818,,,,,,,,,,,,,,,,
gene11066,AAEL015125,,,EOG8KM1TK,sax,sax-babo-tkv,,,,,,,,,,,,,,,,
gene11067,AAEL008620,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11068,AAEL008619,,,NA,NA,CG15873-yip7-CG17404-CG32271-CG33159-kappaTry-CG9676-CG34458-spheroide-CG10041,,,,,,,,,,,,,,,,
gene1107,AAEL007139,,,NA,NA,CG3285-CG15406-CG33282-CG33281-CG15408-CG14606-CG14605,,,,,,,,,,,,,,,,
gene11070,RU134,,,NA,NA,pygo,,,,,,,,,,,,,,,,
gene11071,AAEL013883,,,EOG8NP9V3,Tango10,Tango10-Keap1-KLHL18-lute,,,,,,,,,,,,,,,,
gene11072,AAEL013884,,,EOG8RR982,CG15221,CG15221-CG31106-CG31272-CG31103-CG3168-CG3690,,,,,,,,,,,,,,,,
gene11073,AAEL018180,,,NA,NA,cal1,,,,,,,,,,,,,,,,
gene11074,AAEL009577,,,EOG870X7Q,obst-A,obst-A-obst-B-Gasp-obst-E-Peritrophin-A-Tequila,,,,,,,,,,,,,,,,
gene11075,RU135,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene11076,AAEL009581,,,EOG8QC3XG,T48,T48,,,,,,,,,,,,,,,,
gene11077,AAEL009579,,,EOG8KD9CG,CG1789,CG1789,,,,,,,,,,,,,,,,
gene11078,AAEL009583,,,EOG8ZCWVR,cher,cher,,,,,,,,,,,,,,,,
gene11079,AAEL009584,,,EOG88GZV3,Ets97D,Ets97D-Ets21C-Ets65A,,,,,,,,,,,,,,,,
gene1108,AAEL007129,,,EOG8MD0RD-EOG8MD0RD-EOG8MD0RD,dpr2-dpr1-dpr3,dpr2-dpr1-dpr3-dpr6-dpr10,,,,,,,,,,,,,,,,
gene11080,AAEL009580,,,EOG870X7Q,obst-A,obst-A-obst-B-Gasp-obst-E-Peritrophin-A-Tequila,,,,,,,,,,,,,,,,
gene11081,AAEL009585,,,EOG8XD6HF,Peritrophin-A,Peritrophin-A-Gasp-obst-A-obst-E-obst-B,,,,,,,,,,,,,,,,
gene11082,AAEL009247,,,EOG8HHRT4,CG34376,CG34376-br-pre-mod(mdg4)-J-mod(mdg4)-pre-mod(mdg4)-O-pre-mod(mdg4)-G,,,,,,,,,,,,,,,,
gene11083,AAEL009251,,,EOG84N1JB,CG43386,CG43386,,,,,,,,,,,,,,,,
gene11084,AAEL009249,,,EOG8NCQ3Z,pod1,pod1-coro,,,,,,,,,,,,,,,,
gene11085,AAEL009250,,,NA,NA,CG34376,,,,,,,,,,,,,,,,
gene11086,AAEL009248,,,EOG8P2STM,CG11474,vret-CG9684-CG9925,,,,,,,,,,,,,,,,
gene11087,AAEL013602,,,EOG8MWBXF,SP2353,SP2353-trol,,,,,,,,,,,,,,,,
